2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 33.62/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 37.54/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 36.74/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 75.67/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 36.17/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 75.03/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 75.38/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 75.38/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 35.44/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.93/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 76.7/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 75.65/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 36.65/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.36/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 37.63/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 36.55/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 35.9/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 75.66/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 76.18/100 (High)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 42.18/100 (Medium)
2026-08-12 18:39:43 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 40.43/100 (Medium)
2026-08-12 18:39:44 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.21/100 (Medium)
2026-08-12 18:39:44 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 35.29/100 (Medium)
2026-08-12 18:39:44 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 36.93/100 (Medium)
2026-08-12 18:39:44 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 37.23/100 (Medium)
2026-08-12 18:39:44 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 76.42/100 (High)
2026-08-12 18:39:44 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 35.72/100 (Medium)
2026-08-12 18:39:44 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 37.79/100 (Medium)
2026-08-12 18:39:44 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 33.78/100 (Medium)
2026-08-12 18:39:44 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 75.88/100 (High)
2026-08-12 18:39:44 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 36.92/100 (Medium)
2026-08-12 18:39:44 | INFO | api-scanner | Risk Evaluation [GET] http://localhost/api/v1/resource -> Score: 34.82/100 (Medium)
2026-08-12 18:39:44 | INFO | api-scanner | Risk Evaluation [POST] http://localhost/api/v1/resource -> Score: 76.44/100 (High)
